"rules","support","confidence","lift","conviction"
"{style=Eclectic} => {price=$15-$30}",0.0296547299193969,0.71900826446281,1.52471695998206,1.88059498170684
"{atmosphere=Extraordinary Food} => {price=$30-$50}",0.0241608854312868,0.568664464369986,1.83748438587552,1.60088852793065
"{atmosphere=Good Service} => {price=$15-$30}",0.0252837149617035,0.574487471526196,1.21824857157607,1.2418709494822
"{atmosphere=Good Decor} => {price=$15-$30}",0.029935437302001,0.64436771687527,1.36643545692577,1.48589335903175
"{atmosphere=Excellent Decor} => {price=$15-$30}",0.0348678670249028,0.744116388532306,1.57796083003785,2.06512501805553
"{style=Pizza} => {cuisine=Italian}",0.0396799935838313,0.781904385618333,6.16743623728115,4.00384261818042
"{style=Pizza} => {price=$15-$30}",0.035589686008742,0.701303832477282,1.4871732361483,1.76912764611265
"{occasion=Weekend Lunch} => {price=$15-$30}",0.0277098287684966,0.514711359404097,1.09148834299587,1.0889017453684
"{atmosphere=Wheelchair Access} => {price=$15-$30}",0.0292336688454906,0.527496382054993,1.11860004926275,1.11836529432424
"{style=Californian} => {price=$30-$50}",0.0318001363435858,0.565822333214413,1.82830081287565,1.59040909632949
"{cuisine=Seafood} => {price=$15-$30}",0.032241247944821,0.562434417628541,1.19268906606598,1.2076627345515
"{occasion=Dining Outdoors} => {price=$15-$30}",0.0289529614628865,0.495879120879121,1.05155301138336,1.04822408600463
"{style=High Tea} => {price=$30-$50}",0.0389381240726631,0.644112769485904,2.08127504148623,1.9402778506029
"{style=High Tea} => {cuisine=American}",0.0323615511087942,0.535323383084577,1.46495025558081,1.36563604952575
"{occasion=Takeout Available} => {price=$15-$30}",0.0326222079640695,0.527390599675851,1.11837572890996,1.11811497483948
"{atmosphere=Excellent Food} => {price=$15-$30}",0.0418655010626779,0.65372573575454,1.38627991602627,1.52604944206235
"{style=Hamburgers} => {cuisine=American}",0.0426073705738461,0.633949880668258,1.73484863365974,1.73358539150281
"{style=Hamburgers} => {price=$15-$30}",0.0566026386493965,0.842183770883055,1.78592088902681,3.34839864511499
"{atmosphere=Excellent Service} => {price=$15-$30}",0.0433492400850142,0.643069601427722,1.36368269491076,1.48048933311946
"{occasion=Weekend Brunch} => {price=$15-$30}",0.0361109997192926,0.50405821438567,1.06889746095799,1.06551144323877
"{style=Cab} => {price=$15-$30}",0.0558607691382283,0.585048299034019,1.2406436866373,1.27347748309546
"{cuisine=French} => {price=$30-$50}",0.0608734009704455,0.593664450527962,1.91826503437846,1.69938394899516
"{style=Traditional} => {price=$15-$30}",0.0621967357741509,0.604914196567863,1.282770978342,1.3375111005301
"{occasion=Weekend Dining} => {price=$15-$30}",0.0628183021213458,0.512682048764523,1.0871850206251,1.08436729328896
"{cuisine=Italian} => {price=$15-$30}",0.0741468500621566,0.58484896409932,1.24022098029208,1.27286602237639
"{style=Power Brokers} => {price=$30-$50}",0.118438464931628,0.709464328609176,2.29244081147095,2.37671370050129
"{cuisine=Vegetarian,style=Health Food} => {price=below $15}",0.00547379396078117,0.829787234042553,4.32443140132062,4.74768416409351
"{price=below $15,style=Health Food} => {cuisine=Vegetarian}",0.00547379396078117,0.928571428571429,53.8506644518272,13.7585916509604
"{cuisine=French,style=Brasserie} => {price=$15-$30}",0.00571440028872759,0.646258503401361,1.37044502736679,1.49383561960756
"{price=$15-$30,style=Brasserie} => {cuisine=French}",0.00571440028872759,0.95959595959596,9.35840611828097,22.212174680194
"{cuisine=American,style=Grills} => {price=$15-$30}",0.00735854352969483,0.784188034188034,1.66293609494851,2.4485743678029
"{price=$15-$30,style=Grills} => {cuisine=American}",0.00735854352969483,0.687265917602996,1.88075173522808,2.02913329614581
"{cuisine=American,atmosphere=Place for Singles} => {price=$15-$30}",0.0057745518707142,0.768,1.62860801904843,2.27772261962214
"{atmosphere=Place for Singles,price=$15-$30} => {cuisine=American}",0.0057745518707142,0.504378283712785,1.38026680504205,1.28036992443573
"{atmosphere=Classic Hotel Dining,price=$30-$50} => {cuisine=American}",0.00599510767133176,0.530141843971631,1.45077060774986,1.35057597977091
"{cuisine=American,atmosphere=Classic Hotel Dining} => {price=$30-$50}",0.00599510767133176,0.734643734643735,2.37380120645427,2.60223782450293
"{atmosphere=Romantic,style=Power Brokers} => {price=$30-$50}",0.00573445081605646,0.82183908045977,2.65554922571108,3.87582255671389
"{cuisine=American,atmosphere=Romantic} => {price=$30-$50}",0.00539359185146569,0.820121951219512,2.65000079009536,3.83882366614716
"{cuisine=Bar-B-Q,style=Hamburgers} => {price=$15-$30}",0.00753899827565465,1,2.12058335813597,NA
"{cuisine=Bar-B-Q,price=$15-$30} => {style=Hamburgers}",0.00753899827565465,0.657342657342657,9.78052138791995,2.72222572310795
"{atmosphere=Fabulous Wine Lists,style=Power Brokers} => {price=$30-$50}",0.00743874563901031,0.803030303030303,2.59477378252888,3.50571748498524
"{cuisine=American,atmosphere=Fabulous Wine Lists} => {price=$30-$50}",0.00553394554276777,0.823880597014925,2.66214583061369,3.92074978097348
"{occasion=Fine for Dining Alone,price=$30-$50} => {cuisine=American}",0.00553394554276777,0.657142857142857,1.79831785224378,1.85085582334149
"{cuisine=American,occasion=Fine for Dining Alone} => {price=$30-$50}",0.00553394554276777,0.511111111111111,1.65151639491776,1.41242749911595
"{atmosphere=Great for People Watching,style=Power Brokers} => {price=$30-$50}",0.00571440028872759,0.732647814910026,2.36735193526548,2.58281079859708
"{atmosphere=Great for People Watching,price=$30-$50} => {style=Power Brokers}",0.00571440028872759,0.525830258302583,3.14980282279402,1.75687994446394
"{atmosphere=Good Out of Town Business,style=Power Brokers} => {price=$30-$50}",0.00775955407627221,0.739961759082218,2.39098495448439,2.65545601386081
"{cuisine=American,atmosphere=Good Out of Town Business} => {price=$30-$50}",0.00719813931106388,0.782135076252723,2.52725654635752,3.1694873080162
"{occasion=Dancing,price=$30-$50} => {cuisine=American}",0.00645626979989574,0.597402597402597,1.63483441113071,1.57621270116823
"{occasion=Dancing,price=$15-$30} => {cuisine=American}",0.00651642138188234,0.529315960912052,1.44851052041304,1.34820619934553
"{cuisine=American,atmosphere=For the Young and Young at Heart} => {price=$15-$30}",0.00779965513092994,0.70856102003643,1.5025627073131,1.8131810913502
"{cuisine=American,occasion=After Hours Dining} => {price=$15-$30}",0.00775955407627221,0.739961759082218,1.56915059196677,2.03213052775347
"{cuisine=French,price=over $50} => {style=Power Brokers}",0.0105064763203272,0.658291457286432,3.94326545048084,2.43792356738982
"{price=over $50,style=Power Brokers} => {cuisine=French}",0.0105064763203272,0.598857142857143,5.84032091178278,2.23726183143916
"{atmosphere=Extraordinary Service,style=Power Brokers} => {price=$30-$50}",0.00814051409552071,0.904231625835189,2.92177830300643,7.21031464406583
"{cuisine=American,atmosphere=Extraordinary Service} => {price=$30-$50}",0.00856157516942696,0.769369369369369,2.48600764029335,2.99405204239684
"{cuisine=American,atmosphere=Good for Younger Kids} => {price=$15-$30}",0.00623571399927818,0.589015151515151,1.24905572799297,1.2857691705679
"{cuisine=American,occasion=Late Night Menu} => {price=$15-$30}",0.00781970565825881,0.740037950664137,1.56931216256742,2.03272611945607
"{cuisine=Mexican,style=Southwestern} => {price=$15-$30}",0.00894253518867546,0.674735249621785,1.43083234149568,1.62462008913625
"{occasion=Catering for Special Events,style=Power Brokers} => {price=$30-$50}",0.00507278341420379,0.73121387283237,2.36271854186211,2.56903180962261
"{occasion=Catering for Special Events,price=$30-$50} => {style=Power Brokers}",0.00507278341420379,0.6875,4.11822904155657,2.66578979027148
"{cuisine=American,style=Southern} => {price=$15-$30}",0.00763925091229899,0.557017543859649,1.18120213369855,1.19289520482706
"{price=$15-$30,style=Southern} => {cuisine=American}",0.00763925091229899,0.562776957163959,1.54007890049905,1.45138539660485
"{occasion=Prix Fixe Menus,style=Power Brokers} => {price=$30-$50}",0.00595500661667402,0.552044609665427,1.78378185049909,1.54149302715873
"{cuisine=American,occasion=Prix Fixe Menus} => {price=$30-$50}",0.00653647190921121,0.657258064516129,2.12375048329624,2.01469396998082
"{atmosphere=Extraordinary Decor,style=Power Brokers} => {price=$30-$50}",0.00757909933031239,0.836283185840708,2.70222141954127,4.21777148684956
"{cuisine=American,atmosphere=Extraordinary Decor} => {price=$30-$50}",0.00806031198620524,0.62037037037037,2.0045579431067,1.81893102325177
"{atmosphere=Hip Place To Be,style=Power Brokers} => {price=$30-$50}",0.00775955407627221,0.730188679245283,2.35940590791573,2.55927034027848
"{atmosphere=Hip Place To Be,price=$30-$50} => {style=Power Brokers}",0.00775955407627221,0.546610169491525,3.27427763550569,1.83740184142544
"{price=below $15,style=Diners} => {cuisine=American}",0.0131130448730802,0.64180569185476,1.75634661594317,1.7716058714536
"{cuisine=American,style=Diners} => {price=below $15}",0.0131130448730802,0.725055432372506,3.77862221882407,2.93919774606201
"{occasion=Special Brunch Menu,price=$30-$50} => {cuisine=American}",0.00651642138188234,0.642292490118577,1.75767877378183,1.77401682073078
"{cuisine=American,occasion=Special Brunch Menu} => {price=$15-$30}",0.00944379837189718,0.508090614886731,1.07744850235388,1.07424591549652
"{occasion=Special Brunch Menu,price=$15-$30} => {cuisine=American}",0.00944379837189718,0.548951048951049,1.50224332594703,1.40689638664629
"{cuisine=Mexican,style=Traditional} => {price=$15-$30}",0.00741869511168144,0.898058252427185,1.90440738473376,5.18366283033243
"{cuisine=American,atmosphere=Good Food} => {price=$15-$30}",0.00940369731723944,0.721538461538462,1.5300824537935,1.89768271292275
"{atmosphere=Business Scene,style=Power Brokers} => {price=$30-$50}",0.00830091831415166,0.727592267135325,2.35101630910963,2.53487705146
"{cuisine=American,atmosphere=Business Scene} => {price=$30-$50}",0.00824076673216506,0.659711075441412,2.13167672021801,2.02921711770265
"{cuisine=Fountain and Ice Cream,style=Coffee Shops} => {price=below $15}",0.00653647190921121,0.915730337078652,4.77232338886736,9.589648581091
"{cuisine=American,style=Coffee Shops} => {price=below $15}",0.00956410153587039,0.599246231155779,3.12296828972448,2.01649121302925
"{price=$15-$30,style=Coffee Shops} => {cuisine=American}",0.00639611821790913,0.556719022687609,1.52350093484345,1.43155057832352
"{cuisine=Seafood,style=Steakhouses} => {price=$15-$30}",0.00559409712475438,0.602591792656587,1.27784612725688,1.32969485276811
"{price=$30-$50,style=Steakhouses} => {cuisine=American}",0.00685728034647311,0.533541341653666,1.4600735733133,1.36041882399835
"{cuisine=American,style=Steakhouses} => {price=$15-$30}",0.00926334362593736,0.564102564102564,1.19622650971773,1.21228436837301
"{cuisine=American,occasion=Open for Breakfast} => {price=below $15}",0.00691743192845972,0.499276410998553,2.6019761465143,1.61389731023914
"{cuisine=American,occasion=Delivery Available} => {price=$15-$30}",0.00677707823715764,0.49632892804699,1.05250686497791,1.04916021026047
"{occasion=Entertainment,style=Power Brokers} => {price=$30-$50}",0.00585475398002967,0.85131195335277,2.75078278986174,4.64408623456601
"{cuisine=American,occasion=Entertainment} => {price=$30-$50}",0.00984480891847456,0.529094827586207,1.70962587826592,1.46636764922203
"{cuisine=American,style=Eclectic} => {price=$15-$30}",0.0145366323134298,0.697115384615385,1.47829128331594,1.74466321797597
"{price=$15-$30,style=Eclectic} => {cuisine=American}",0.0145366323134298,0.490196078431373,1.34145619839156,1.2447513888846
